
_cd,_indextime,_kv,_raw,_serial,_si,_sourcetype,_time,created_at,date_hour,date_mday,date_minute,date_month,date_second,date_wday,date_year,date_zone,eid,eventtype,haha,host,id,index,linecount,punct,source,sourcetype,splunk_server,text,timeendpos,timestartpos,tudo,user_id
4:1628,1306621926,1,id=74603879764987904 user_id=298749818 created_at='Sat May 28 22:32:05 +0000 2011' text='RT @thebeercompanyg: Hoy 10% de descuento #hazcerveza #juevesdewings',0,"blovering-ubuntu-root
twitter",twitter,1306621925,'Sat May 28 22:32:05 +0000 2011',22,28,32,may,5,saturday,2011,0,,,,blovering-ubuntu,74603879764987904,twitter,1,=_=_='___::_+_'_='_@:__%___#_#',tcp:9001,twitter,blovering-ubuntu-root,'RT @thebeercompanyg: Hoy 10% de descuento #hazcerveza #juevesdewings',76,62,,298749818
4:1614,1306621926,1,id=74603879756611584 user_id=236602177 created_at='Sat May 28 22:32:05 +0000 2011' text='@xproudofjonas haha =) Graziee Piccina',1,"blovering-ubuntu-root
twitter",twitter,1306621925,'Sat May 28 22:32:05 +0000 2011',22,28,32,may,5,saturday,2011,0,,,),blovering-ubuntu,74603879756611584,twitter,1,=_=_='___::_+_'_='@__=)__',tcp:9001,twitter,blovering-ubuntu-root,'@xproudofjonas haha =) Graziee Piccina',76,62,,236602177
4:1607,1306621925,1,id=74603879756595200 user_id=64109522 created_at='Sat May 28 22:32:05 +0000 2011' text='minha m\xc3\xa3e linda ta fazendo torta :3',2,"blovering-ubuntu-root
twitter",twitter,1306621925,'Sat May 28 22:32:05 +0000 2011',22,28,32,may,5,saturday,2011,0,,,,blovering-ubuntu,74603879756595200,twitter,1,=_=_='___::_+_'_='_\\_____:',tcp:9001,twitter,blovering-ubuntu-root,'minha m\xc3\xa3e linda ta fazendo torta :3',75,61,,64109522
4:1588,1306621925,1,id=74603879735631872 user_id=134813394 created_at='Sat May 28 22:32:05 +0000 2011' text='RT @BieberPancake: Justin & Beliebers probably have the tightest fan to idol relationship than any other celeb and their fans.',3,"blovering-ubuntu-root
twitter",twitter,1306621925,'Sat May 28 22:32:05 +0000 2011',22,28,32,may,5,saturday,2011,0,,,,blovering-ubuntu,74603879735631872,twitter,1,=_=_='___::_+_'_='_@:__&________________.',tcp:9001,twitter,blovering-ubuntu-root,'RT @BieberPancake: Justin & Beliebers probably have the tightest fan to idol relationship than any other celeb and their fans.',76,62,,134813394
4:1580,1306621925,1,id=74603879748214784 user_id=193914207 created_at='Sat May 28 22:32:05 +0000 2011' text='RT @Itoofunny: SHH! i am listening to the voices in my head.',4,"blovering-ubuntu-root
twitter",twitter,1306621925,'Sat May 28 22:32:05 +0000 2011',22,28,32,may,5,saturday,2011,0,,,,blovering-ubuntu,74603879748214784,twitter,1,=_=_='___::_+_'_='_@:_!_________.',tcp:9001,twitter,blovering-ubuntu-root,'RT @Itoofunny: SHH! i am listening to the voices in my head.',76,62,,193914207
4:1573,1306621925,1,id=74603879764983808 user_id=131357081 created_at='Sat May 28 22:32:05 +0000 2011' text='AMAZING BARCELONA \\(\xc2\xb4\xe2\x96\xbd`)/ 3-1',5,"blovering-ubuntu-root
twitter",twitter,1306621925,'Sat May 28 22:32:05 +0000 2011',22,28,32,may,5,saturday,2011,0,,,,blovering-ubuntu,74603879764983808,twitter,1,=_=_='___::_+_'_='__\\(\\\\\)/_-',tcp:9001,twitter,blovering-ubuntu-root,'AMAZING BARCELONA \\(\xc2\xb4\xe2\x96\xbd`)/ 3-1',76,62,,131357081
4:1565,1306621925,1,"id=74603879760793600 user_id=176503417 created_at='Sat May 28 22:32:05 +0000 2011' text=""I swear, i have troubles typing the words 'awkward' & 'shoutout' ha. no joke.""",6,"blovering-ubuntu-root
twitter",twitter,1306621925,'Sat May 28 22:32:05 +0000 2011',22,28,32,may,5,saturday,2011,0,,,,blovering-ubuntu,74603879760793600,twitter,1,"=_=_='___::_+_'_=""_,_______''_&_''_.__.""",tcp:9001,twitter,blovering-ubuntu-root,"I swear, i have troubles typing the words 'awkward' & 'shoutout' ha. no joke.",76,62,,176503417
4:1557,1306621925,1,id=74603879731441664 user_id=53963 created_at='Sat May 28 22:32:05 +0000 2011' text='@rainer3 @inkblurt so glad you two met. Two of the smartest dudes in UX.',7,"blovering-ubuntu-root
twitter",twitter,1306621925,'Sat May 28 22:32:05 +0000 2011',22,28,32,may,5,saturday,2011,0,,,,blovering-ubuntu,74603879731441664,twitter,1,=_=_='___::_+_'_='@_@_____._______.',tcp:9001,twitter,blovering-ubuntu-root,'@rainer3 @inkblurt so glad you two met. Two of the smartest dudes in UX.',72,58,,53963
4:1548,1306621925,1,"id=74603879760797696 user_id=16241645 created_at='Sat May 28 22:32:05 +0000 2011' text='Cara, j\xc3\xa1 me decidi que por hoje eu n\xc3\xa3o vou me estressar mais. Que se exploda tudo =p'",8,"blovering-ubuntu-root
twitter",twitter,1306621925,'Sat May 28 22:32:05 +0000 2011',22,28,32,may,5,saturday,2011,0,,,,blovering-ubuntu,74603879760797696,twitter,1,"=_=_='___::_+_'_=',_\\_______\\____._____='",tcp:9001,twitter,blovering-ubuntu-root,"'Cara, j\xc3\xa1 me decidi que por hoje eu n\xc3\xa3o vou me estressar mais. Que se exploda tudo =p'",75,61,p,16241645
4:1542,1306621925,1,id=74603879760797697 user_id=53393224 created_at='Sat May 28 22:32:05 +0000 2011' text='nada pra fazer ..',9,"blovering-ubuntu-root
twitter",twitter,1306621925,'Sat May 28 22:32:05 +0000 2011',22,28,32,may,5,saturday,2011,0,,,,blovering-ubuntu,74603879760797697,twitter,1,=_=_='___::_+_'_='___..',tcp:9001,twitter,blovering-ubuntu-root,'nada pra fazer ..',75,61,,53393224
